review_id,asin,review_text,review_score
A1B59UOKB5II2X,B007VXJK6E,"This took a few times of using to get used to the &#34;buzz&#34; and tickle in your mouth, but wow you feel like you just had a dentist's cleaning every time you brush.  I noticed my teeth seemed whiter even after the first couple uses as well!  My dental cleanings will be taking half the time and I expect less gum disease, and cavities with the use of it.  It was dentist recommended and I think it will be a good investment!",5
A63GSML234W5B,B007VXJK6E,There are a couple types of these toothbrushes on the market but my opinion is that this is the best one. It really makes a thorough  job super easy. I have a handicapped daughter and there is no comparison between this type of brush and a conventional or spinbrush. This is far more subtle and the results are superior with very little work on the part of the brusher.,5
A3HY3THGD7ANEV,B007VXJK6E,I have used a Sonicare toothbrush for many years. They do a great job. When I go to a dentist they look at my teeth and always say 'you must use and electric toothbrush'. I haven't had a cavity in many years.,5
AQ6FQTYVMVAMX,B007VXJK6E,"I bought this to replace a Sonicare toothbrush that was over 10 years old.  It works perfectly  each and every time.  If it lasts as long as my old one, VERY worth every penny.  I don't have much need for other features, such as beeping and whatnot.  I mean, it's a toothbrush, not a smartphone.  I need it to brush my teeth, and it does that flawlessly.",5
A1SEOLQSAG8NSJ,B007VXJK6E,"My dentist has been recommending this for ever, finally got one and WOW after a few months of use my teeth feel like I left with a cleaning, and way cheaper than Wally World.",5
A2JYR10B40EI3Z,B007VXJK6E,The toothbrush arrived on schedule and had great packaging. Sonicare Toothbrushes could sell themselves.  Fine product!!  I recommend buying one.,5
A26EQ8U96JA92T,B007VXJK6E,"I love this toothbrush.  My teeth have never felt cleaner.  A electric toothbrush can be a bit of a scary feeling on your first few uses but Philips has built in a gradual pacer that happens over 12 uses.  You can work up to the full effect if it's your first experience with electric toothbrushes.  Philips Sonicare are the best on the market, in my opinion.  The 2 minute timer really keeps me honest :)",5
A32V776TN03KC2,B007VXJK6E,"I've wanted a sonicare since forever but didn't want to pay $80 for one. YOu can't beat this price. It's new, its amazon exclusive, and it has the 2 minute timer. The heads are easy to find everywhere, and the charger is amazing - no plugs you just sit it on top of it, it uses some magnetic induction or something.Read the manual, and enjoy. I love brushing my teeth so much I started doing it after meals. IT's actually fun and somehow...ritualistic? You put a tiny dab of toothpaste (you'll actually save money on that because you can't glob it on, this is a good thing, trust me) and go to town, when you're done - it beeps and turns off. And that's it. I am such a creature of convenience (=read: lazy) that this is actually very encouraging. Can't rave about it enough. Like Oprah said about it: ""SONICARE...IT WILL CHANGE YOUR LIFE!""",5
A3DITYDVHSJEO2,B007VXJK6E,"This toothbrush is on sonic's website for $79.95, what a great deal,on Amazon.This tooth brush is the single best tooth brush i have ever had. It leaves my teeth very clean feeling, and I consider myself a brushaholic  and have been for years (ex smoker). I look forward every morning and night to use this and if I'm home during the days,will use it after lunch.Great product fantastic price.",5
A1EU10ZW8MU99L,B007VXJK6E,"This was $29 after a $10 coupon I found on the site. For the money, it's the best thirty bucks I've spent in a long time.My teeth feel much cleaner, the buildup is completely gone and it's smooth as if I just went in for a cleaning.The unit itself is pretty big and the head does not pop off easy, so having multiple heads for each person in your house is optimistic at best (for the price, you can buy a unit for each person). The charger base is small and works well.I only have a few complaints: I wish there was a compact design. I charge this thing every minute except the 4 I'm using it, why does the battery need to be so big? I also wish the base would accommodate one more unit (not charging, just hold it). That way I could buy just another base and switch out when it needs to be charged. Also, a quick release top shouldn't be a ""feature"" of a higher priced model. Lastly, I should be able to switch out the brush at will, not the entire top. There's no way I should have to pay $10 per brush when only the tip has worn out.It's all still worth it. I'm buying another one for the wife and just setting it on the counter. Clean teeth are worth the costs.",5
A1A9PD00UVHHVI,B007ZN5ATQ,"The people at the bed and breakfast we are staying at while we build our house, recommended this toothbrush. It is wonderful. My teeth feel cleaner than after a trip to my dentist. Travels well and stays charged.",5
A599O3M1DJKUR,B007ZN5ATQ,Works well. Note: This model does not have the quad timer. The travel bag is &#34;non-optimum.&#34; Spring for the hard plastic molded case; it's worth it and works better than the soft case included with this set.,5
A2EC00UYI9U6HC,B007ZN5ATQ,I love Sonicares.  They make your teeth feel so clean and are very durable.  You can really notice the difference between this and a regular toothbrush.,5
A24DXMZ9N9SL3B,B007ZN5ATQ,"This is a fantastic toothbrush , the dentist recommended . I am so very happy with thsi purchase, it's not hard on teh gums at all . easy to control.",5
A3EK1NEPCXMGSY,B007ZN5ATQ,"The biggest difference between this and the Philips Sonicare Essence (usually sells for about $70 on Amazon) is that this one has a 2 minute timer ONLY.  The Essence has a 2 minute timer that has a tiny pause every 30 seconds, so you can make sure you're brushing each part of your mouth for the same amount of time.",5
ASXKOIXZ4LPZ2,B007ZN5ATQ,"My teeth have never felt so clean! this toothbrush is the  best! feels like i get a professional cleaning every time! holds a charge for a week +, i love this toothbrush!",5
A26L4QHFHX9GBG,B007ZN5ATQ,"Have been using this since December and its fantastic.  The charge lasts a while, stands straight up on the sink and the travel pack is very nice.  Have had zero problems, teeth feel very clean and the head is taking some time to wear out.  Very happy I chose this one.",5
A3S15YGZ6W6EV2,B007ZN5ATQ,"I had been using an electric toothbrush forever, although not a sonic one. I bought one of these for my daughter, who needed something more than a manual toothbrush. She liked it so much and my old electric toothbrush was on its last legs, so I bought this.Wonderful, terrific decision.My teeth and gums are so clean, it's unbelievable. I use the same toothpaste, and brush at the 45 degree angle that the toothbrush recommends, and the line between my gums and teeth is perfect. Two minutes, morning and night, and my teeth and gums are beautifully clean. When I floss (every day), I get much less mung from between my teeth, and my gums don't hurt at all from flossing.My only nit, at all, is that when the two minute time period is up, the toothbrush shuts off without warning. I'd prefer a beep or some signal ahead of time, so that I could plan accordingly. I know it's possible, because my old (very OLD) toothbrush had a warning system. Ideally, I'd like a way of measuring the four thirty-second quarters of the two minute time period, so I could do my mouth in sections. For now, I'll use the clock in my bathroom to time my toothbrushing.If you're in the market for a toothbrush, I'd give this one a try. It's almost perfect, and if you don't mind timing one's own brushing.",5
AQO0UJGJ7ZXIQ,B007ZN5ATQ,"This is a great product, holds a charge for a good while, good for weekend trips especially, and don't need to lug the charger.",5
A3PIAYO9S0STVO,B007ZN5ATQ,WE love our Sonicare toothbrushes and ordered this one thru Amazon as the price was good.  The carry case is nice if you are vacation or our for a night or two.,5
A3BXRVQLYQHOVE,B007ZN5ATQ,This is the third Philips Sonicare I have owned.  I would not be without one.  Dentist notices the difference at our checkups when we use this toothbrush.  The online prices is also great compared to even Sam's.,5
A1GSRK3CZVUZMQ,B007ZN5ATQ,I purchased this a while ago and it is still going strong. Easy to clean and use. I wouldn't by another toothbrush.,5
A3RGVDWKSIAX7E,B007ZN5ATQ,"In the past few years I had my share of dental work done including an implant and a root canal.  All those missed dentist visits resulted in a monstrous bill.  After my procedures I finally invested in an electric toothbrush.  Should've done it sooner.  It really makes brushing my teeth less of a chore.  The brush does all the work.  The head is small and reaches areas normal brushes miss.  The sonicare bristles are jagged shaped and cleans thoroughly.  I also noticed some of the newer heads vibrate more and massage the gums.  After using this for several months, I went to my dentist for my teeth cleaning and he commented on the excellent condition of my teeth (without knowing of my switch to an electronic toothbrush).  Floss, brush, rinse.  And use the sonicare.",5
A39ST611MIEIFL,B007ZN5ATQ,My second sonic are purchase. Works very well and it stays charged for a very long time. It's never died on me and I don't always have the charger plugged in. The little carrying case is nice.,5
A3OIPQ0N6E2JWT,B007ZN5ATQ,I would have never believed that a tooth brush could make such a difference in how clean my teeth felt.  I was mistaken!  This tooth brush cleans my teeth so well that they feel like I just had them professionally cleaned.  I have had it almost 3 months and the e-series brush head is just about ready for replacement so it lasted as long as was suggested.  I am so glad I made the investment... FYI Sam's Club sells a 4-Pack of the e-series heads for $36.00 dollars.  I thought that seemed a little better than what I have seen other places.  If not let me know... Hope this helps!!,5
AS1RPAY2NAPAQ,B007ZN5ATQ,"This was the best price i found on this, after much research--It works great, and is so worth the money!",5
