asin,review_id,star_rating,sentence,aspect,opinion_term,sentiment,confidence
B007VXJK6E,A1B59UOKB5II2X,5,"This took a few times of using to get used to the &#34;buzz&#34; and tickle in your mouth,",buzz,tickle,Positive,0.8268
B007VXJK6E,A1B59UOKB5II2X,5,wow you feel like you just had a dentist's cleaning every time you brush.,cleaning,had,Negative,0.6818
B007VXJK6E,A1B59UOKB5II2X,5,I noticed my teeth seemed whiter even after the first couple uses as well!,teeth,seemed,Negative,0.9391
B007VXJK6E,A1B59UOKB5II2X,5,"My dental cleanings will be taking half the time and I expect less gum disease, and cavities with the use of it.",time,taking,Positive,0.6684
B007VXJK6E,A1B59UOKB5II2X,5,It was dentist recommended,dentist,recommended,Positive,0.9844
B007VXJK6E,A1B59UOKB5II2X,5,and I think it will be a good investment!,investment,good,Positive,0.9982
B007VXJK6E,A63GSML234W5B,5,It really makes a thorough  job super easy.,job,thorough,Positive,0.9959
B007VXJK6E,A63GSML234W5B,5,This is far more subtle and the results are superior with very little work on the part of the brusher.,results,superior,Positive,0.9894
B007VXJK6E,A3HY3THGD7ANEV,5,They do a great job.,job,great,Positive,0.9989
B007VXJK6E,A3HY3THGD7ANEV,5,When I go to a dentist they look at my teeth and always say 'you must use and electric toothbrush'.,electric,use,Positive,0.8962
B007VXJK6E,A3HY3THGD7ANEV,5,I haven't had a cavity in many years.,cavity,n't had,Neutral,0.5434
B007VXJK6E,AQ6FQTYVMVAMX,5,It works perfectly  each and every time.,works,,Positive,0.9988
B007VXJK6E,AQ6FQTYVMVAMX,5,"I don't have much need for other features, such as beeping and whatnot.",beeping,such,Neutral,0.8005
B007VXJK6E,AQ6FQTYVMVAMX,5,"I mean, it's a toothbrush, not a smartphone.",smartphone,mean,Neutral,0.9732
B007VXJK6E,A2JYR10B40EI3Z,5,The toothbrush arrived on schedule and had great packaging.,packaging,great,Positive,0.9973
B007VXJK6E,A26EQ8U96JA92T,5,My teeth have never felt cleaner.,teeth,cleaner,Negative,0.9962
B007VXJK6E,A26EQ8U96JA92T,5,A electric toothbrush can be a bit of a scary feeling on your first few uses,electric toothbrush,,Negative,0.9947
B007VXJK6E,A26EQ8U96JA92T,5,The 2 minute timer really keeps me honest :),timer,keeps,Positive,0.8297
B007VXJK6E,A32V776TN03KC2,5,YOu can't beat this price.,price,n't beat,Positive,0.998
B007VXJK6E,A32V776TN03KC2,5,"It's new, its amazon exclusive, and it has the 2 minute timer.",timer,has,Neutral,0.683
B007VXJK6E,A32V776TN03KC2,5,"The heads are easy to find everywhere, and the charger is amazing - no plugs you just sit it on top of it, it uses some magnetic induction or something.",heads,easy,Positive,0.9789
B007VXJK6E,A32V776TN03KC2,5,"The heads are easy to find everywhere, and the charger is amazing - no plugs you just sit it on top of it, it uses some magnetic induction or something.",charger,amazing,Positive,0.9593
B007VXJK6E,A32V776TN03KC2,5,"The heads are easy to find everywhere, and the charger is amazing - no plugs you just sit it on top of it, it uses some magnetic induction or something.",plugs,amazing,Positive,0.5855
B007VXJK6E,A32V776TN03KC2,5,"Read the manual, and enjoy.",manual,Read,Positive,0.6017
B007VXJK6E,A32V776TN03KC2,5,Can't rave about it enough.,rave,,Neutral,0.925
B007VXJK6E,A3DITYDVHSJEO2,5,This tooth brush is the single best tooth brush i have ever had.,tooth brush,,Positive,0.9985
B007VXJK6E,A3DITYDVHSJEO2,5,"It leaves my teeth very clean feeling, and I consider myself a brushaholic  and have been for years (ex smoker).",feeling,clean,Positive,0.961
B007VXJK6E,A3DITYDVHSJEO2,5,Great product fantastic price.,price,Great,Positive,0.9986
B007VXJK6E,A1EU10ZW8MU99L,5,"My teeth feel much cleaner, the buildup is completely gone and it's smooth as if I just went in for a cleaning.",teeth,cleaner,Positive,0.9943
B007VXJK6E,A1EU10ZW8MU99L,5,"The unit itself is pretty big and the head does not pop off easy,",unit,big,Positive,0.9049
B007VXJK6E,A1EU10ZW8MU99L,5,"The unit itself is pretty big and the head does not pop off easy,",head,not pop,Negative,0.8268
B007VXJK6E,A1EU10ZW8MU99L,5,The charger base is small and works well.,charger base,,Positive,0.8168
B007VXJK6E,A1EU10ZW8MU99L,5,I only have a few complaints: I wish there was a compact design.,design,compact,Negative,0.8819
B007VXJK6E,A1EU10ZW8MU99L,5,I charge this thing every minute,charge,,Negative,0.9843
B007VXJK6E,A1EU10ZW8MU99L,5,"the 4 I'm using it, why does the battery need to be",battery,need,Negative,0.9662
B007VXJK6E,A1EU10ZW8MU99L,5,"I also wish the base would accommodate one more unit (not charging, just hold it).",base,accommodate,Negative,0.8759
B007VXJK6E,A1EU10ZW8MU99L,5,That way I could buy just another base and switch out when it needs to be charged.,base,buy,Neutral,0.9358
B007VXJK6E,A1EU10ZW8MU99L,5,"Also, a quick release top shouldn't be a ""feature"" of a higher priced model.",feature,priced,Negative,0.6512
B007VXJK6E,A1EU10ZW8MU99L,5,"Also, a quick release top shouldn't be a ""feature"" of a higher priced model.",priced,quick,Negative,0.8707
B007VXJK6E,A1EU10ZW8MU99L,5,"Lastly, I should be able to switch out the brush at will, not the entire top.",brush,switch,Neutral,0.7406
B007VXJK6E,A1EU10ZW8MU99L,5,There's no way I should have to pay $10 per brush when only the tip has worn out.,tip,worn,Negative,0.7444
B007VXJK6E,A1EU10ZW8MU99L,5,Clean teeth are worth the costs.,teeth,Clean,Positive,0.996
B007VXJK6E,A1EU10ZW8MU99L,5,Clean teeth are worth the costs.,costs,worth,Positive,0.9972
B007ZN5ATQ,A1A9PD00UVHHVI,5,The people at the bed and breakfast we are staying at,breakfast,staying,Neutral,0.9832
B007ZN5ATQ,A1A9PD00UVHHVI,5,"we build our house, recommended this toothbrush.",toothbrush,recommended,Positive,0.9894
B007ZN5ATQ,A1A9PD00UVHHVI,5,My teeth feel cleaner than after a trip to my dentist.,teeth,cleaner,Positive,0.9886
B007ZN5ATQ,A1A9PD00UVHHVI,5,Travels well and stays charged.,charged,stays,Negative,0.936
B007ZN5ATQ,A599O3M1DJKUR,5,Note: This model does not have the quad timer.,quad timer,,Negative,0.8779
B007ZN5ATQ,A599O3M1DJKUR,5,The travel bag is &#34;non-optimum.&#34; Spring for the hard plastic molded case; it's worth it and works better than the soft case included with this set.,travel bag,,Negative,0.9807
B007ZN5ATQ,A2EC00UYI9U6HC,5,They make your teeth feel,teeth,feel,Negative,0.9922
B007ZN5ATQ,A24DXMZ9N9SL3B,5,"This is a fantastic toothbrush , the dentist recommended .",toothbrush,fantastic,Positive,0.9986
B007ZN5ATQ,A24DXMZ9N9SL3B,5,easy to control.,control,easy,Positive,0.8117
B007ZN5ATQ,A3EK1NEPCXMGSY,5,The biggest difference between this and the Philips Sonicare Essence (usually sells for about $70 on Amazon) is that this one has a 2 minute timer ONLY.,timer,has,Negative,0.9377
B007ZN5ATQ,A3EK1NEPCXMGSY,5,"The Essence has a 2 minute timer that has a tiny pause every 30 seconds,",timer,has,Neutral,0.5342
B007ZN5ATQ,ASXKOIXZ4LPZ2,5,My teeth have never felt,teeth,never felt,Negative,0.8435
B007ZN5ATQ,ASXKOIXZ4LPZ2,5,this toothbrush is the  best!,toothbrush,best,Positive,0.9987
B007ZN5ATQ,ASXKOIXZ4LPZ2,5,feels like i get a professional cleaning every time!,cleaning,professional,Positive,0.9961
B007ZN5ATQ,ASXKOIXZ4LPZ2,5,holds a charge for a week,charge,holds,Negative,0.7309
B007ZN5ATQ,A26L4QHFHX9GBG,5,"The charge lasts a while, stands straight up on the sink and the travel pack is very nice.",charge,lasts,Neutral,0.9124
B007ZN5ATQ,A26L4QHFHX9GBG,5,"The charge lasts a while, stands straight up on the sink and the travel pack is very nice.",pack,nice,Positive,0.8076
B007ZN5ATQ,A26L4QHFHX9GBG,5,"Have had zero problems, teeth feel very clean and the head is taking some time to wear out.",teeth,clean,Positive,0.9968
B007ZN5ATQ,A3S15YGZ6W6EV2,5,"much and my old electric toothbrush was on its last legs,",electric toothbrush,,Negative,0.9484
B007ZN5ATQ,A3S15YGZ6W6EV2,5,"Wonderful, terrific decision.",decision,Wonderful,Positive,0.9985
B007ZN5ATQ,A3S15YGZ6W6EV2,5,My teeth and gums are,teeth,,Neutral,0.9315
B007ZN5ATQ,A3S15YGZ6W6EV2,5,My teeth and gums are,gums,,Neutral,0.9669
